myTank.x,myTank.y,myTank.rotation,myTank.cannonRotation,myTank.velocityX,myTank.velocityY,myTank.accelerationX,myTank.accelerationY,myTank.shootCooldown,myTank.controls.turnLeft,myTank.controls.turnRight,myTank.controls.goForward,myTank.controls.goBack,myTank.controls.shoot,myTank.controls.cannonLeft,myTank.controls.cannonRight,myBullet1.x,myBullet1.y,myBullet1.velocityX,myBullet1.velocityY,myBullet2.x,myBullet2.y,myBullet2.velocityX,myBullet2.velocityY,myBullet3.x,myBullet3.y,myBullet3.velocityX,myBullet3.velocityY,enemyTank.x,enemyTank.y,enemyTank.rotation,enemyTank.cannonRotation,enemyTank.velocityX,enemyTank.velocityY,enemyTank.accelerationX,enemyTank.accelerationY,enemyTank.shootCooldown,enemyBullet1.x,enemyBullet1.y,enemyBullet1.velocityX,enemyBullet1.velocityY,enemyBullet2.x,enemyBullet2.y,enemyBullet2.velocityX,enemyBullet2.velocityY,enemyBullet3.x,enemyBullet3.y,enemyBullet3.velocityX,enemyBullet3.velocityY,currentGameTime
450,228,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
449.953,227.999,181.5,180,-0.047,-0.001,-0.05,-0.001,99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.047,272.001,1.5,0,0.047,0.001,0.05,0.001,99,0,0,0,0,0,0,0,0,0,0,0,0,29
449.86,227.995,183,180,-0.093,-0.004,-0.05,-0.003,98,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.14,272.005,3,0,0.093,0.004,0.05,0.003,98,0,0,0,0,0,0,0,0,0,0,0,0,46
449.725,227.988,184.5,180,-0.135,-0.007,-0.05,-0.004,97,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.275,272.012,4.5,0,0.135,0.007,0.05,0.004,97,0,0,0,0,0,0,0,0,0,0,0,0,63
449.549,227.976,186,180,-0.176,-0.012,-0.05,-0.005,96,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.451,272.024,6,0,0.176,0.012,0.05,0.005,96,0,0,0,0,0,0,0,0,0,0,0,0,80
449.335,227.959,187.5,180,-0.214,-0.017,-0.05,-0.007,95,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.665,272.041,7.5,0,0.214,0.017,0.05,0.007,95,0,0,0,0,0,0,0,0,0,0,0,0,96
449.085,227.935,189,180,-0.25,-0.024,-0.049,-0.008,94,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.915,272.065,9,0,0.25,0.024,0.049,0.008,94,0,0,0,0,0,0,0,0,0,0,0,0,113
448.8,227.903,190.5,180,-0.284,-0.031,-0.049,-0.009,93,0,1,1,0,0,1,0,426.5,228,-2.5,0,0,0,0,0,0,0,0,0,51.2,272.097,10.5,0,0.284,0.031,0.049,0.009,93,0,0,0,0,0,0,0,0,0,0,0,0,129
448.483,227.863,192,180,-0.317,-0.04,-0.049,-0.01,92,0,1,1,0,0,1,0,424,228,-2.5,0,0,0,0,0,0,0,0,0,51.517,272.137,12,0,0.317,0.04,0.049,0.01,92,0,0,0,0,0,0,0,0,0,0,0,0,147
448.136,227.815,193.5,180,-0.347,-0.049,-0.049,-0.012,91,0,1,1,0,0,1,0,421.5,228,-2.5,0,0,0,0,0,0,0,0,0,51.864,272.185,13.5,0,0.347,0.049,0.049,0.012,91,0,0,0,0,0,0,0,0,0,0,0,0,163
